Country,HDI rank,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Group,region,sub-region,GINI coefficient,Internet users (per 100 people),"Labor force, female (% of total labor force)",Military expenditure (% of GDP),Pop growth (annual %),Pop density (people per sq. km of land area),Pop ages 0-14 (% of total),Pop ages 15-64 (% of total),Pop ages 65+ (% of total),"Pop, total",Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Rural population (% of total pop),"Unemployment, total (% of total labor force)","Fertility rate, total (births per woman)"
Saint Vincent and the Grenadines,97,0.72,72.9,13.4,8.6,9937,High,Americas,Caribbean,,,,,,,,,,,,,,,
Jamaica,99,0.719,75.7,12.4,9.7,7415,High,Americas,Caribbean,45.5,40.5,44.86667621,0.871038601,0.216550537,251.2053555,24.15232848,66.89078903,8.956882493,2720554,22,1692,45.444,13.19999981,2.046
Tonga,100,0.717,72.8,14.7,10.7,5069,High,Oceania,Polynesia,,40,42.72469922,,0.424250251,146.6472222,36.97365181,57.14204535,5.884302843,105586,0,22,76.368,,3.722
Belize,101,0.715,70,13.6,10.5,7614,High,Americas,Central America,,38.7,37.946469,1.033857934,2.159305277,15.41893906,33.0932654,63.1527469,3.753987706,351706,10,45,55.876,11.5,2.579
Dominican Republic,101,0.715,73.5,13.1,7.6,11883,High,Americas,Caribbean,47.1,49.58,40.08752081,0.68403872,1.203986962,215.3547806,30.25506674,63.23404808,6.510885174,10405943,608,349,21.939,15,2.48
Suriname,103,0.714,71.1,12.7,7.7,15617,High,Americas,South America,,40.08,37.38363226,,0.895407485,3.450307692,27.12950164,66.07233097,6.798167388,538248,0,17,33.915,5.599999905,2.36
Maldives,104,0.706,76.8,13,5.8,12328,High,Asia,Southern Asia,37.4,49.28,42.47626173,,2.015181544,1336.666667,27.58082341,67.69217856,4.726998028,401000,,36,55.506,11.60000038,2.123
Samoa,105,0.702,73.4,12.9,10.3,5327,High,Oceania,Polynesia,,21.2,27.65893462,,0.761315436,67.78975265,37.50058641,57.32075373,5.178659856,191845,,1,80.74,,4.086
Botswana,106,0.698,64.5,12.5,8.9,16646,Medium,Africa,Southern Africa,60.5,18.5,47.06439566,2.386534331,1.975614057,3.917098089,32.19807589,64.26713911,3.534784996,2219937,2645,237,42.813,18.20000076,2.836
Moldova,107,0.693,71.6,11.9,11.2,5223,Medium,Europe,Eastern Europe,28.5,46.6,48.48603423,0.34529228,-0.060970101,123.8429153,15.78677124,74.32098008,9.892248683,3556397,335,2233,55.075,3.400000095,1.256
Egypt,108,0.69,71.1,13.5,6.6,10512,Medium,Africa,Northern Africa,30.8,,,,,,,,,,,,,,
Turkmenistan,109,0.688,65.6,10.8,9.9,13066,Medium,Asia,Central Asia,40.8,12.2,39.21341439,,1.272383604,11.29357138,28.39889976,67.49348242,4.107617819,5307188,35,484,50.312,10.5,2.301
Gabon,110,0.684,64.4,12.5,7.8,16367,Medium,Africa,Middle Africa,,9.81,45.76895254,1.144818396,2.236266447,6.549745799,37.29140657,57.55315159,5.155441842,1687673,1013,172,13.08,19.70000076,3.909
Indonesia,110,0.684,68.9,13,7.6,9788,Medium,Asia,South-Eastern Asia,36.8,17.14,37.97071076,0.778141413,1.260193359,140.460914,27.98277068,66.90861431,5.108615017,254454778,4270,14408,46.997,6.199999809,2.463
Paraguay,112,0.679,72.9,11.9,7.7,7643,Medium,Americas,South America,53.2,43,39.1809986,1.398867463,1.334291611,16.49262019,30.57072106,63.5712256,5.858053347,6552518,153,94,40.584,4.5,2.542
"Palestine, State of",113,0.677,72.9,13,8.9,4699,Medium,Asia,Western Asia,,,,,,,,,,,,,,,
Uzbekistan,114,0.675,68.4,11.5,10.9,5567,Medium,Asia,Central Asia,36.8,43.55,40.16350556,,1.686900359,72.30300893,28.53483483,66.84597949,4.619185676,30757700,125,4795,63.722,10.60000038,2.2
Philippines,115,0.668,68.2,11.3,8.9,7915,Medium,Asia,South-Eastern Asia,46,39.69,39.21605232,1.089669198,1.593253248,332.490492,32.22737157,63.279888,4.492740423,99138690,222,670,55.512,7.099999905,2.977
El Salvador,116,0.666,73,12.3,6.5,7349,Medium,Americas,Central America,46.9,29.7,42.18851424,0.933176873,0.296162908,294.7734556,27.61521265,64.3936365,7.991150851,6107706,35,10965,33.745,6.199999809,1.931
South Africa,116,0.666,57.4,13.6,9.9,12122,Medium,Africa,Southern Africa,62.5,49,43.84252957,1.112826031,1.615744656,44.56276726,29.52614104,65.44582568,5.028033287,54058647.34,112192,424,35.702,25.10000038,2.363
Viet Nam,116,0.666,75.8,11.9,7.5,5092,Medium,Asia,South-Eastern Asia,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),119,0.662,68.3,13.2,8.2,5760,Medium,Americas,South America,,,,,,,,,,,,,,,
Kyrgyzstan,120,0.655,70.6,12.5,10.6,3044,Medium,Asia,Central Asia,33.4,,,,,,,,,,,,,,
Iraq,121,0.654,69.4,10.1,6.4,14003,Medium,Asia,Western Asia,,11.3,17.67691383,4.259230777,3.361273266,81.21498665,41.1498297,55.79454688,3.055623415,35273293,271143,369954,30.639,16.39999962,4.566
Cabo Verde,122,0.646,73.3,13.5,4.7,6094,Medium,Africa,Western Africa,,40.26,39.23549494,0.537031322,1.302061946,127.5200993,29.97104529,65.30240939,4.726545322,513906,0,27,35.16,9.199999809,2.303
Micronesia (Federated States of),123,0.64,69.1,11.7,9.7,3432,Medium,Oceania,Micronesia,,,,,,,,,,,,,,,
Guyana,124,0.636,66.4,10.3,8.5,6522,Medium,Americas,South America,44.6,37.35,34.93577457,1.276563528,0.375100609,3.880584201,29.80783958,65.33310293,4.859057486,763893,11,700,71.541,11.10000038,2.558
Nicaragua,125,0.631,74.9,11.5,6,4457,Medium,Americas,Central America,40.5,17.6,38.71122881,0.690334183,1.141643124,49.97434768,30.52397,64.51606467,4.959965334,6013913,280,1587,41.541,5.300000191,2.264
Morocco,126,0.628,74,11.6,4.4,6850,Medium,Africa,Northern Africa,40.9,56.8,27.03855965,3.680270424,1.390819379,76.00538427,27.32738282,66.59343715,6.079180034,33921203,1216,1539,40.301,10.19999981,2.515
Namibia,126,0.628,64.8,11.3,6.2,9418,Medium,Africa,Southern Africa,59.7,14.84,48.51800559,4.252529039,2.369479939,2.918604623,36.91974307,59.57859349,3.501663436,2402858,1767,1253,54.322,18.60000038,3.522
Guatemala,128,0.627,71.8,10.7,5.6,6929,Medium,Americas,Central America,53,23.4,38.16522168,0.418365485,2.048252145,149.4540314,37.12095924,58.11597819,4.763062569,16015494,164,7483,48.885,2.900000095,3.211
